 test 0 FAIL
102 113 106
113 178 91
90 114 1161
96 114 715
114 117 139
114 195 667
114 133 585
39 114 388
115 339 283
73 115 270
2 116 197
116 170 172
116 178 25
117 185 623
66 117 855
95 117 114
91 118 560
26 118 722
16 119 232
119 340 873
120 186 448
25 120 314
120 221 310
120 339 806
32 121 80
121 156 462
121 297 341
106 122 697
9 122 240
89 122 385
122 155 387
122 290 251
122 236 221
123 134 367
123 260 218
123 257 409
67 124 856
124 287 383
125 173 256
126 359 56
126 274 148
126 223 249
126 216 689
103 126 798
78 126 1176
126 251 427
5 127 623
32 127 834
128 293 352
7 128 511
128 189 418
129 360 705
129 155 351
129 387 961
90 129 800
129 340 175
130 208 739
130 296 252
130 176 502
92 131 816
47 131 181
109 131 568
131 376 967
121 132 416
54 132 214
132 327 423
132 394 391
71 132 877
133 292 382
133 201 233
134 384 189
134 370 330
134 152 231
134 304 144
115 134 890
135 329 146
37 135 289
135 205 183
135 268 146
135 350 416
83 136 563
136 310 420
136 191 469
0 137 564
137 301 96
121 138 551
98 138 148
138 395 308
77 139 501
15 139 127
139 142 655
107 139 110
24 139 152
33 140 148
140 210 1159
39 140 212
140 162 442
140 389 280
140 209 167
141 142 942
141 238 496
141 235 139
141 180 743
141 272 668
56 141 382
69 142 883
108 142 598
142 284 435
113 143 1021
143 297 246
56 143 328
143 173 142
144 268 959
114 144 553
6 144 621
144 336 826
145 160 520
145 252 592
145 176 243
33 146 350
146 386 287
146 152 334
76 146 369
87 146 744
147 179 235
147 306 296
147 157 175
47 147 255
96 148 350
148 324 617
148 363 607
148 388 642
10 148 671
149 181 437
92 149 294
149 331 170
149 334 741
149 227 495
150 386 876
150 159 309
150 152 338
150 363 159
142 150 146
113 150 442
151 213 259
151 222 179
151 302 551
10 152 840
152 172 970
152 328 215
137 153 278
153 188 274
153 378 1027
153 201 147
66 153 702
47 154 905
154 328 934
154 166 787
41 155 215
135 155 269
155 160 299
155 397 104
33 156 732
156 174 134
157 245 198
133 157 661
157 252 169
158 186 519
158 194 837
158 277 85
22 158 845
158 291 203
158 182 605
147 159 469
159 394 530
108 159 108
160 164 238
160 295 312
161 358 520
85 161 729
161 292 184
14 161 137
161 293 65
62 162 463
162 354 621
163 164 411
163 223 110
110 163 149
163 183 273
130 163 841
163 357 550
77 164 777
164 313 218
164 271 960
164 360 212
76 164 514
165 386 314
97 165 628
165 203 913
166 353 1045
22 166 229
166 282 276
167 296 826
168 266 80
168 174 183
168 358 1008
56 168 360
168 275 229
169 327 1165
130 169 484
169 288 652
169 286 409
2 170 292
153 170 295
170 394 621
171 300 452
103 171 191
171 212 269
171 323 558
171 305 453
172 184 348
172 206 584
172 282 280
15 172 250
41 172 740
173 185 399
173 328 606
162 173 677
109 174 300
174 193 371
174 329 566
142 175 571
18 175 295
118 175 152
124 176 827
176 261 634
176 301 527
171 177 838
177 283 534
70 177 138
178 187 501
28 178 469
178 218 658
68 179 803
95 179 282
179 255 553
179 331 679
179 193 354
23 179 690
110 180 377
44 180 789
180 341 268
180 352 270
181 287 218
44 181 521
104 182 775
91 182 575
59 182 857
183 227 322
58 183 931
183 248 407
184 186 578
184 242 286
108 184 350
185 342 124
176 185 338
185 334 150
185 332 460
163 185 130
186 381 805
45 186 109
111 186 35
187 214 178
187 254 556
187 228 992
45 187 503
166 188 766
188 244 538
80 188 429
189 376 374

expected output:

663 560 771 716 714 692 766 714 743 663 696 802 714 802 771 759 806 683 716 692 802 757 716 776 802 757 704 655 663 714 757 750 700 659 716 559 716 690 776 662 663 602 657 716 714 802 759 716 757 771 802 771 617 680 537 691 802 771 802 498 691 463 680 714 676 716 802 714 716 714 755 718 759 759 716 700 716 704 683 802 692 716 716 758 714 802 714 714 692 715 802 716 663 556 343 802 716 668 714 802 714 680 704 775 757 542 783 598 802 704 649 757 699 715 714 802 716 722 692 757 714 542 649 802 716 704 750 759 715 673 716 755 661 714 488 687 625 757 655 587 716 716 699 757 714 714 581 663 741 714 714 663 702 759 597 700 714 757 530 759 714 759 673 716 806 759 714 802 757 623 558 663 677 566 757 802 558 714 714 716 716 802 771 715 692 663 771 759 802 680 662 700 704 757 667 758 768 660 691 714 663 757 806 563 668 584 647 673 716 587 757 771 760 533 680 757 690 658 776 579 702 680 515 617 533 757 740 771 759 757 757 802 718 716 802 647 594 690 757 714 714 515 602 538 638 750 802 714 559 757 673 802 716 556 668 714 757 492 742 663 704 816 776 673 739 714 700 757 714 692 716 668 719 663 623 651 758 692 714 757 704 583 647 574 680 690 714 691 663 647 609 716 692 714 714 714 714 714 757 757 617 678 692 714 692 663 759 759 690 444 658 574 776 759 714 680 662 757 668 686 714 757 574 802 594 737 757 759 692 714 679 629 714 757 757 757 681 768 757 692 823 757 759 757 617 721 716 757 771 721 594 655 759 621 636 680 680 802 611 714 714 716 654 682 692 636 768 617 595 802 677 714 680 696 757 716 802 702 757 757 663 617 802 716 716 714 715 742 696 574 714 757 714 621 771 714 663 699 700

test 3 FAIL

program output:

400
760
0 1 437
0 20 516
1 2 847
1 21 94
2 3 936
2 22 749
3 4 876
3 23 184
4 5 563
4 24 504
5 6 611
5 25 614
6 7 336
6 26 494
7 8 55
7 27 170
8 9 262
8 28 714
9 10 193
9 29 180
10 11 287
10 30 315
11 12 1020
11 31 407
12 13 428
12 32 269
13 14 772
13 33 255
14 15 203
14 34 788
15 16 366
15 35 266
16 17 529
16 36 949
17 18 583
17 37 879
18 19 440
18 38 953
19 39 347
20 21 149
20 40 414
21 22 466
21 41 827
22 23 429
22 42 342
23 24 704
23 43 162
24 25 256
24 44 328
25 26 542
25 45 287
26 27 322
26 46 519
27 28 512
27 47 393
28 29 595
28 48 487
29 30 154
29 49 942
30 31 632
30 50 652
31 32 425
31 51 440
32 33 409
32 52 177
33 34 777
33 53 279
34 35 342
34 54 328
35 36 451
35 55 805
36 37 275
36 56 216
37 38 357
37 57 117
38 39 234
38 58 450
39 59 734
40 41 345
40 60 738
41 42 1075
41 61 208
42 43 79
42 62 361
43 44 180
43 63 124
44 45 534
44 64 789
45 46 618
45 65 396
46 47 181
46 66 328
47 48 634
47 67 496
48 49 545
48 68 556
49 50 176
49 69 529
50 51 587
50 70 502
51 52 254
51 71 266
52 53 688
52 72 116
53 54 358
53 73 367
54 55 627
54 74 268
55 56 1187
55 75 629
56 57 357
56 76 565
57 58 308
57 77 376
58 59 140
58 78 871
59 79 231
60 61 914
60 80 231
61 62 536
61 81 253
62 63 202
62 82 150
63 64 400
63 83 76
64 65 903
64 84 266
65 66 490
65 85 197
66 67 700
66 86 127
67 68 371
67 87 1030
68 69 1109
68 88 250
69 70 859
69 89 843
70 71 420
70 90 991
71 72 223
71 91 323
72 73 296
72 92 517
73 74 747
73 93 152
74 75 337
74 94 326
75 76 835
75 95 803
76 77 333
76 96 846
77 78 122
77 97 475
78 79 605
78 98 304
79 99 441
80 81 426
80 100 636
81 82 384
81 101 153
82 83 280
82 102 989
83 84 505
83 103 469
84 85 210
84 104 353
85 86 148
85 105 793
86 87 225
86 106 205
87 88 733
87 107 478
88 89 418
88 108 305
89 90 421
89 109 268
90 91 429
90 110 384
91 92 387
91 111 362
92 93 618
92 112 1051
93 94 329
93 113 722
94 95 175
94 114 477
95 96 992
95 115 227
96 97 517
96 116 207
97 98 480
97 117 70
98 99 266
98 118 367
99 119 804
100 101 240
100 120 584
101 102 283
101 121 239
102 103 209
102 122 137
103 104 1057
103 123 183
104 105 312
104 124 103
105 106 277
105 125 264
106 107 774
106 126 742
107 108 1040
107 127 576
108 109 536
108 128 269
109 110 166
109 129 567
110 111 117
110 130 842
111 112 691
111 131 399
112 113 363
112 132 313
113 114 81
113 133 580
114 115 180
114 134 953
115 116 185
115 135 353
116 117 440
116 136 150
117 118 304
117 137 441
118 119 941
118 138 247
119 139 291
120 121 1003
120 140 805
121 122 786
121 141 294
122 123 215
122 142 507
123 124 445
123 143 951
124 125 822
124 144 787
125 126 269
125 145 278
126 127 350
126 146 947
127 128 527
127 147 662
128 129 187
128 148 250
129 130 232
129 149 580
130 131 374
130 150 226
131 132 530
131 151 127
132 133 609
132 152 108
133 134 539
133 153 636
134 135 803
134 154 226
135 136 749
135 155 204
136 137 368
136 156 330
137 138 276
137 157 80
138 139 755
138 158 801
139 159 808
140 141 174
140 160 133
141 142 80
141 161 666
142 143 178
142 162 221
143 144 420
143 163 326
144 145 772
144 164 317
145 146 468
145 165 358
146 147 723
146 166 309
147 148 696
147 167 709
148 149 680
148 168 379
149 150 548
149 169 683
150 151 395
150 170 260
151 152 1056
151 171 394
152 153 278
152 172 572
153 154 189
153 173 336
154 155 267
154 174 161
155 156 584
155 175 99
156 157 695
156 176 401
157 158 533
157 177 193
158 159 428
158 178 93
159 179 194
160 161 265
160 180 933
161 162 928
161 181 167
162 163 654
162 182 232
163 164 556
163 183 613
164 165 700
164 184 633
165 166 1053
165 185 328
166 167 199
166 186 486
167 168 227
167 187 689
168 169 278
168 188 360
169 170 563
169 189 617
170 171 135
170 190 139
171 172 362
171 191 396
172 173 315
172 192 341
173 174 251
173 193 178
174 175 384
174 194 291
175 176 768
175 195 425
176 177 328
176 196 197
177 178 779
177 197 309
178 179 286
178 198 188
179 199 665
180 181 423
180 200 824
181 182 269
181 201 906
182 183 322
182 202 148
183 184 332
183 203 643
184 185 515
184 204 428
185 186 190
185 205 259
186 187 226
186 206 80
187 188 405
187 207 336
188 189 175
188 208 893
189 190 185
189 209 826
190 191 206
190 210 503
191 192 377
191 211 653
192 193 249
192 212 312
193 194 512
193 213 1022
194 195 633
194 214 141
195 196 270
195 215 242
196 197 312
196 216 664
197 198 814
197 217 399
198 199 689
198 218 115
199 219 772
200 201 745
200 220 901
201 202 115
201 221 281
202 203 716
202 222 538
203 204 216
203 223 402
204 205 296
204 224 686
205 206 898
205 225 368
206 207 887
206 226 46
207 208 593
207 227 766
208 209 627
208 228 455
209 210 328
209 229 392
210 211 957
210 230 550
211 212 975
211 231 689
212 213 654
212 232 620
213 214 221
213 233 349
214 215 176
214 234 780
215 216 227
215 235 175
216 217 749
216 236 194
217 218 411
217 237 183
218 219 827
218 238 1083
219 239 312
220 221 770
220 240 233
221 222 577
221 241 266
222 223 485
222 242 422
223 224 626
223 243 208
224 225 856
224 244 91
225 226 409
225 245 508
226 227 147
226 246 51
227 228 993
227 247 1084
228 229 451
228 248 575
229 230 633
229 249 161
230 231 595
230 250 217
231 232 247
231 251 993
232 233 199
232 252 552
233 234 449
233 253 128
234 235 951
234 254 1071
235 236 497
235 255 217
236 237 370
236 256 804
237 238 511
237 257 66
238 239 549
238 258 557
239 259 730
240 241 614
240 260 339
241 242 483
241 261 392
242 243 8
242 262 718
243 244 208
243 263 956
244 245 208
244 264 207
245 246 543
245 265 387
246 247 424
246 266 155
247 248 326
247 267 235
248 249 524
248 268 185
249 250 468
249 269 645
250 251 839
250 270 793
251 252 578
251 271 80
252 253 275
252 272 425
253 254 484
253 273 912
254 255 178
254 274 94
255 256 99
255 275 371
256 257 215
256 276 681
257 258 798
257 277 535
258 259 854
258 278 837
259 279 479
260 261 85
260 280 529
261 262 449
261 281 990
262 263 477
262 282 199
263 264 521
263 283 850
264 265 904
264 284 792
265 266 804
265 285 604
266 267 761
266 286 446
267 268 236
267 287 509
268 269 937
268 288 205
269 270 983
269 289 91
270 271 211
270 290 281
271 272 551
271 291 283
272 273 576
272 292 54
273 274 640
273 293 461
274 275 769
274 294 1039
275 276 129
275 295 223
276 277 484
276 296 287
277 278 544
277 297 590
278 279 687
278 298 499
279 299 607
280 281 629
280 300 598
281 282 484
281 301 607
282 283 617
282 302 952
283 284 353
283 303 147
284 285 354
284 304 192
285 286 393
285 305 526
286 287 542
286 306 174
287 288 165
287 307 504
288 289 819
288 308 110
289 290 771
289 309 425
290 291 614
290 310 831
291 292 118
291 311 189
292 293 208
292 312 672
293 294 208
293 313 822
294 295 45
294 314 889
295 296 656
295 315 433
296 297 65
296 316 1062
297 298 806
297 317 768
298 299 460
298 318 995
299 319 251
300 301 283
300 320 282
301 302 327
301 321 94
302 303 99
302 322 455
303 304 412
303 323 371
304 305 626
304 324 1081
305 306 1054
305 325 1092
306 307 186
306 326 352
307 308 223
307 327 730
308 309 497
308 328 558
309 310 513
309 329 680
310 311 656
310 330 344
311 312 196
311 331 955
312 313 530
312 332 434
313 314 293
313 333 301
314 315 348
314 334 420
315 316 546
315 335 792
316 317 124
316 336 429
317 318 749
317 337 720
318 319 765
318 338 288
319 339 694
320 321 302
320 340 878
321 322 575
321 341 564
322 323 856
322 342 67
323 324 383
323 343 939
324 325 573
324 344 360
325 326 379
325 345 87
326 327 377
326 346 713
327 328 682
327 347 334
328 329 903
328 348 201
329 330 477
329 349 739
330 331 73
330 350 640
331 332 1037
331 351 979
332 333 539
332 352 839
333 334 517
333 353 496
334 335 234
334 354 718
335 336 250
335 355 273
336 337 368
336 356 270
337 338 259
337 357 300
338 339 518
338 358 492
339 359 175
340 341 96
340 360 296
341 342 178
341 361 207
342 343 155
342 362 136
343 344 515
343 363 651
344 345 137
344 364 145
345 346 937
345 365 635
346 347 899
346 366 964
347 348 747
347 367 586
348 349 444
348 368 813
349 350 642
349 369 268
350 351 279
350 370 243
351 352 404
351 371 134
352 353 948
352 372 671
353 354 336
353 373 331
354 355 191
354 374 504
355 356 512
355 375 224
356 357 691
356 376 905
357 358 1001
357 377 895
358 359 955
358 378 749
359 379 217
360 361 517
360 380 140
361 362 698
361 381 646
362 363 365
362 382 148
363 364 809
363 383 587
364 365 66
364 384 295
365 366 310
365 385 769
366 367 788
366 386 476

expected output:

437 437 437 437 437 437 336 437 262 315 409 409 409 409 342 342 342 342 342 516 437 437 437 437 437 437 437 437 437 437 437 425 409 409 342 342 342 342 342 414 437 437 180 437 437 437 437 437 437 437 437 342 342 342 342 342 342 342 342 414 414 414 400 437 437 437 437 437 437 437 420 387 342 342 342 342 342 342 342 294 294 294 280 280 280 225 437 437 437 437 429 387 387 387 342 342 342 342 342 294 283 294 280 280 280 437 437 437 437 384 387 387 387 387 353 368 368 342 342 294 294 294 437 437 437 437 437 437 437 384 387 387 387 387 387 387 368 401 401 294 424 294 437 437 437 437 437 437 437 437 395 395 387 267 401 401 401 401 401 424 424 424 424 424 424 424 437 379 437 437 396 395 336 384 425 425 328 328 425 424 424 322 424 424 424 424 437 437 437 437 437 377 437 437 437 411 425 425 425 424 424 424 424 424 437 437 437 437 437 437 437 437 437 425 242 411 411 425 425 424 424 424 424 424 424 409 437 437 437 437 437 437 425 425 425 425 425 425 425 425 425 425 425 208 424 424 437 437 437 437 437 437 425 425 371 425 425 425 425 425 425 425 425 425 425 425 425 437 437 437 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 368 368 425 425 425 425 425 425 412 425 425 425 425 425 425 425 425 425 425 425 368 368 425 425 425 302 425 425 425 425 425 425 425 425 425 425 425 425 425 425 368 368 425 425 425 302 425 178 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 365 365 365 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 425 217 365 365 365 425 425 425 425 425 411 425 425 425 425 425 425 425 412 398 425 190

test 4 FAIL

program output:

1600
3120
0 1 505
0 40 787
1 2 487
1 41 291
2 3 1088
2 42 569
3 4 347
3 43 126
4 5 53
4 44 237
5 6 995
5 45 217
6 7 191
6 46 123
7 8 390
7 47 304
8 9 726
8 48 984
9 10 710
9 49 510
10 11 128
10 50 1080
11 12 490
11 51 408
12 13 410
12 52 115
13 14 868
13 53 240
14 15 441
14 54 427
15 16 409
15 55 613
16 17 870
16 56 531
17 18 353
17 57 815
18 19 254
18 58 428
19 20 1039
19 59 254
20 21 242
20 60 688
21 22 99
21 61 169
22 23 424
22 62 870
23 24 186
23 63 324
24 25 974
24 64 250
25 26 993
25 65 318
26 27 379
26 66 407
27 28 389
27 67 517
28 29 247
28 68 161
29 30 268
29 69 464
30 31 203
30 70 507
31 32 404
31 71 848
32 33 238
32 72 168
33 34 279
33 73 544
34 35 988
34 74 567
35 36 309
35 75 926
36 37 715
36 76 805
37 38 237
37 77 509
38 39 242
38 78 941
39 79 295
40 41 103
40 80 197
41 42 245
41 81 331
42 43 837
42 82 326
43 44 517
43 83 130
44 45 359
44 84 770
45 46 710
45 85 198
46 47 771
46 86 81
47 48 139
47 87 91
48 49 191
48 88 926
49 50 385
49 89 626
50 51 803
50 90 448
51 52 490
51 91 144
52 53 667
52 92 563
53 54 981
53 93 585
54 55 35
54 94 488
55 56 362
55 95 359
56 57 162
56 96 252
57 58 360
57 97 604
58 59 395
58 98 213
59 60 224
59 99 172
60 61 648
60 100 373
61 62 185
61 101 460
62 63 337
62 102 176
63 64 685
63 103 314
64 65 384
64 104 937
65 66 1019
65 105 153
66 67 780
66 106 718
67 68 438
67 107 207
68 69 787
68 108 347
69 70 443
69 109 607
70 71 988
70 110 764
71 72 280
71 111 427
72 73 240
72 112 766
73 74 352
73 113 107
74 75 939
74 114 345
75 76 624
75 115 602
76 77 316
76 116 410
77 78 141
77 117 167
78 79 374
78 118 626
79 119 232
80 81 314
80 120 683
81 82 379
81 121 295
82 83 213
82 122 251
83 84 635
83 123 942
84 85 1011
84 124 163
85 86 162
85 125 425
86 87 222
86 126 359
87 88 695
87 127 539
88 89 422
88 128 680
89 90 383
89 129 630
90 91 113
90 130 514
91 92 159
91 131 728
92 93 323
92 132 810
93 94 270
93 133 374
94 95 795
94 134 261
95 96 209
95 135 966
96 97 558
96 136 511
97 98 960
97 137 363
98 99 772
98 138 501
99 100 664
99 139 203
100 101 335
100 140 577
101 102 67
101 141 554
102 103 230
102 142 78
103 104 805
103 143 582
104 105 211
104 144 749
105 106 774
105 145 506
106 107 762
106 146 298
107 108 215
107 147 723
108 109 463
108 148 496
109 110 454
109 149 547
110 111 504
110 150 290
111 112 1046
111 151 468
112 113 360
112 152 445
113 114 533
113 153 325
114 115 1114
114 154 144
115 116 1134
115 155 386
116 117 520
116 156 686
117 118 528
117 157 674
118 119 1011
118 158 585
119 159 408
120 121 101
120 160 486
121 122 92
121 161 449
122 123 840
122 162 162
123 124 273
123 163 884
124 125 374
124 164 220
125 126 497
125 165 174
126 127 797
126 166 914
127 128 14
127 167 252
128 129 735
128 168 256
129 130 268
129 169 866
130 131 462
130 170 514
131 132 518
131 171 853
132 133 227
132 172 367
133 134 859
133 173 100
134 135 778
134 174 417
135 136 383
135 175 886
136 137 447
136 176 562
137 138 73
137 177 349
138 139 805
138 178 367
139 140 124
139 179 126
140 141 594
140 180 385
141 142 800
141 181 738
142 143 214
142 182 246
143 144 166
143 183 748
144 145 96
144 184 259
145 146 365
145 185 199
146 147 529
146 186 326
147 148 460
147 187 876
148 149 293
148 188 291
149 150 275
149 189 216
150 151 692
150 190 542
151 152 411
151 191 46
152 153 140
152 192 915
153 154 595
153 193 424
154 155 483
154 194 1084
155 156 78
155 195 256
156 157 532
156 196 535
157 158 640
157 197 700
158 159 843
158 198 217
159 199 719
160 161 230
160 200 528
161 162 212
161 201 558
162 163 289
162 202 838
163 164 337
163 203 397
164 165 348
164 204 347
165 166 814
165 205 278
166 167 63
166 206 158
167 168 564
167 207 774
168 169 597
168 208 615
169 170 212
169 209 690
170 171 646
170 210 655
171 172 768
171 211 563
172 173 1010
172 212 614
173 174 240
173 213 244
174 175 83
174 214 718
175 176 396
175 215 214
176 177 208
176 216 910
177 178 205
177 217 516
178 179 565
178 218 1019
179 180 718
179 219 381
180 181 522
180 220 244
181 182 976
181 221 52
182 183 638
182 222 566
183 184 612
183 223 295
184 185 413
184 224 697
185 186 498
185 225 774
186 187 312
186 226 144
187 188 627
187 227 350
188 189 558
188 228 152
189 190 437
189 229 313
190 191 804
190 230 334
191 192 222
191 231 375
192 193 554
192 232 212
193 194 621
193 233 681
194 195 867
194 234 268
195 196 377
195 235 563
196 197 329
196 236 237
197 198 685
197 237 388
198 199 223
198 238 831
199 239 337
200 201 660
200 240 397
201 202 584
201 241 569
202 203 732
202 242 846
203 204 825
203 243 200
204 205 728
204 244 262
205 206 797
205 245 591
206 207 296
206 246 611
207 208 181
207 247 194
208 209 501
208 248 136
209 210 410
209 249 344
210 211 533
210 250 889
211 212 309
211 251 126
212 213 431
212 252 627
213 214 631
213 253 808
214 215 254
214 254 620
215 216 670
215 255 731
216 217 405
216 256 143
217 218 394
217 257 681
218 219 210
218 258 864
219 220 606
219 259 1029
220 221 464
220 260 130
221 222 359
221 261 370
222 223 227
222 262 705
223 224 460
223 263 298
224 225 1015
224 264 185
225 226 580
225 265 500
226 227 422
226 266 636
227 228 539
227 267 1057
228 229 478
228 268 498
229 230 480
229 269 571
230 231 617
230 270 329
231 232 429
231 271 845
232 233 589
232 272 758
233 234 411
233 273 230
234 235 180
234 274 452
235 236 192
235 275 203
236 237 578
236 276 720
237 238 623
237 277 212
238 239 653
238 278 399
239 279 173
240 241 416
240 280 876
241 242 608
241 281 279
242 243 558
242 282 416
243 244 180
243 283 495
244 245 671
244 284 577
245 246 756
245 285 574
246 247 457
246 286 592
247 248 192
247 287 298
248 249 486
248 288 66
249 250 213
249 289 310
250 251 291
250 290 113
251 252 789
251 291 619
252 253 343
252 292 860
253 254 611
253 293 599
254 255 462
254 294 666
255 256 361
255 295 121
256 257 120
256 296 448
257 258 247
257 297 132
258 259 275
258 298 576
259 260 239
259 299 108
260 261 244
260 300 739
261 262 488
261 301 191
262 263 605
262 302 219
263 264 216
263 303 681
264 265 270
264 304 139
265 266 404
265 305 1072
266 267 331
266 306 481
267 268 288
267 307 265
268 269 880
268 308 464
269 270 475
269 309 336
270 271 904
270 310 321
