 test 0 FAIL
3005 6866 8733
3005 9724 9431
3005 6181 2348
3005 6023 3800
3005 1067 9874
3005 7499 6003
3005 9597 3838
3005 4777 9916
3005 9209 1633
2351 3557 9580
2351 1636 1026
2351 5273 6553
2351 4729 7795
2351 1376 5500
2351 2518 6623
2351 9404 3025
2351 1988 5389
2351 7198 3872
2351 1629 5998
9770 7689 4118
9770 5313 4487
9770 1337 5570
9770 7804 4586
9770 7597 1763
9770 195 3583
9770 2266 9328
9770 4290 9285
9770 4150 810
9770 9478 1704
3360 2539 2212
3360 7132 4291
3360 3275 636
3360 4042 1549
3360 8489 9783
3360 1995 3915
3360 6736 6637
3360 5041 3967
3360 2820 1940
3360 5620 6825
5867 4297 1681
5867 6326 6876
5867 7434 2828
5867 1259 859
5867 7367 3382
5867 8228 361
5867 9068 8975
5867 1558 509
5867 2333 2146
5867 7313 9191
6914 4452 154
6914 5354 3783
6914 1345 2736
6914 7591 4729
6914 3553 555
6914 2482 6462
6914 9472 8977
6914 9653 9989
6914 8273 89
6914 6295 1942
5290 8374 6082
5290 2246 6077
5290 5219 1684
5290 142 1072
5290 703 5242
5290 294 479
5290 2893 5263
5290 5406 7626
5290 7513 3826
5290 8018 3604
5403 5619 9564
5403 3076 2743
5403 2806 5478
5403 2887 3619
5403 3118 830
5403 1364 1509
5403 814 5096
5403 7245 5543
5403 927 3261
5403 3988 7435
1214 3050 7483
1214 434 2286
1214 8609 8678
1214 4574 6199
1214 7226 7093
1214 9351 4944
1214 8178 9342
1214 8506 9209
1214 3076 5697
1214 7121 754
323 541 7556
323 4584 6454
323 3249 3525
323 7697 7792
323 9959 2847
323 4330 2370
323 8370 7180
323 815 9485
323 1400 4883
323 7198 4607
9399 7636 1454
9399 9986 2170
9399 2773 4013
9399 7490 7836
9399 6980 4652
9399 9890 1205
9399 1466 8373
9399 6948 6362
9399 8585 554
9399 8974 8447
9824 6837 186
9824 8919 7986
9824 454 7628
9824 7096 6751
9824 9575 4953
9824 7071 4931
9824 6803 8001
9824 4426 747
9824 3309 2148
9824 4358 535
5159 7175 3015
5159 4185 3214
5159 3369 3575
5159 9606 4065
5159 2211 7087
5159 6952 8969
5159 8719 5026
5159 9130 168
5159 7761 2931
5159 3920 806
8011 9016 3969
8011 4648 3921
8011 2969 4855
8011 1423 8932
8011 3364 6458
8011 8218 6590
8011 9637 4949
8011 9587 8787
8011 2784 6947
8011 8297 8268
3138 2767 9706
3138 2055 2697
3138 9790 2955
3138 9735 5166
3138 2921 672
3138 779 1102
3138 949 4677
3138 3379 8961
3138 1592 8895
3138 8164 2121
9408 9194 4299
9408 4381 1904
9408 9342 4793
9408 988 2374
9408 7634 607
9408 1478 1721
9408 3813 8389
9408 7027 7184
9408 3975 4540
9408 9660 3501
2074 6695 7444
2074 8806 4841
2074 6407 2765
2074 1308 8818
2074 7592 5678
2074 8139 8552
2074 990 5079
2074 891 1898
2074 8069 4833
2074 4821 1757
6525 2996 233
6525 4787 7105
6525 1235 364
6525 1518 9514
6525 3061 6755
6525 6395 234
6525 3046 9548
6525 1204 6284
6525 7532 9371
6525 947 8650
5314 7488 2712
5314 3846 9623
5314 3576 9718
5314 9637 2771
5314 2555 2757
5314 8246 7550
5314 439 7571
5314 1678 6171
5314 3407 474
5314 5568 102
3009 3945 9928
3009 3956 2227
3009 8656 8625
3009 9993 3630
3009 8658 8491
3009 7991 5277
3009 8355 6383
3009 6889 465
3009 3594 8096
3009 6765 5063
2463 2278 3035
2463 1075 822
2463 3409 3204
2463 5287 9022
2463 9053 1253
2463 835 8306
2463 3191 646
2463 9017 7709
2463 9719 7895
2463 9219 8418
8036 6925 1321
8036 5784 4116
8036 7988 8708
8036 789 5918
8036 2748 1212
8036 1327 8397
8036 4302 987
8036 4797 5124
8036 4312 3779
8036 4769 8256
3283 5879 6411
3283 7240 5105
3283 3274 6722
3283 5849 6628
3283 3219 6794
3283 1549 6889
3283 7282 9046
3283 7502 7610
3283 7519 5742
3283 1543 6397
9897 2100 1202
9897 5204 4310
9897 4567 6464
9897 5647 613
9897 4335 5222
9897 4678 8944
9897 8083 7473
9897 2840 2139
9897 3267 4907
9897 4976 8956
923 6204 4899
923 9647 3487
923 1192 1569
923 5947 2411
923 6975 4015
923 6997 7372
923 5544 6439
923 4581 3040
923 562

expected output:

66356

test 3 FAIL

program output:

1838 87
62 68
0 59 4608
0 15 7926
0 55 1444
0 66 5094
0 6 3716
0 61 9198
0 27 7008
0 76 8016
0 54 1448
0 32 5160
0 50 9035
0 8 8413
0 29 9191
0 38 715
0 51 2625
0 79 4044
0 11 2212
0 35 1573
0 5 7200
0 57 5133
0 72 9770
0 80 2905
1 66 5574
1 33 1363
1 23 8267
1 43 8052
1 48 7984
1 76 3179
1 54 6394
1 32 209
1 60 548
1 68 486
1 56 536
1 51 7418
1 16 4999
1 11 5910
1 35 2867
1 52 6576
1 5 2705
1 67 4464
1 40 1289
2 1 3381
2 0 3570
2 15 942
2 55 4076
2 66 1558
2 33 195
2 6 8141
2 43 4914
2 61 4747
2 76 5426
2 65 6540
2 60 2599
2 13 3952
2 29 3918
2 56 3394
2 51 884
2 79 9114
2 35 7214
2 25 3968
2 52 2865
2 5 7790
2 71 2731
2 57 5015
2 45 9065
2 72 3152
2 80 1391
3 17 8470
3 46 3480
3 34 4202
3 30 8768
3 49 6499
3 73 436
3 22 6463
3 82 5267
3 24 7174
3 1 5498
3 0 586
3 59 7451
3 55 2368
3 23 1937
3 6 6330
3 43 7837
3 61 7364
3 65 8218
3 39 8661
3 8 8189
3 68 5065
3 56 1798
3 25 1885
3 5 3839
3 57 7176
3 72 2768
3 80 7551
4 30 6686
4 49 1196
4 36 9216
4 1 2825
4 0 6745
4 21 4302
4 59 8688
4 15 3072
4 33 1498
4 6 2444
4 61 408
4 27 5729
4 76 8314
4 65 6328
4 39 8917
4 8 2694
4 56 1867
4 38 5101
4 16 2596
4 79 7565
4 11 9076
4 25 5652
4 5 8204
4 45 3506
4 40 8776
5 86 5388
5 71 9224
5 57 7076
5 67 6986
5 45 4531
5 69 8994
5 72 6582
6 43 5147
6 27 1925
6 76 8053
6 65 9359
6 32 6160
6 60 1966
6 39 8028
6 8 5753
6 68 9662
6 29 2911
6 56 6576
6 16 1030
6 11 235
6 25 5016
6 52 3569
6 71 1458
6 57 5487
6 45 6541
6 69 9323
6 80 3901
6 40 4569
7 74 158
7 41 6887
7 44 2317
7 62 6059
7 14 7673
7 26 1595
7 64 2840
7 47 2778
7 9 9744
7 3 8081
7 17 279
7 46 6659
7 34 2947
7 30 1009
7 73 595
7 36 3538
7 22 8658
7 1 5583
7 55 6047
7 66 8467
7 33 9217
7 6 9316
7 48 1563
7 27 4920
7 54 3990
7 32 3845
7 8 7509
7 29 3310
7 38 1426
7 51 3282
7 35 272
7 52 582
7 5 1257
7 86 5520
7 45 7854
7 69 8453
7 72 5502
7 40 9587
8 38 3898
8 51 369
8 16 3829
8 79 310
8 35 120
8 25 4985
8 5 565
8 67 9203
8 45 8326
8 69 8191
8 72 7101
8 80 9635
9 17 5253
9 4 1928
9 30 2036
9 28 3858
9 22 4040
9 1 3001
9 21 5322
9 59 327
9 48 1389
9 27 8273
9 65 2184
9 32 6213
9 50 6906
9 56 8529
9 38 9953
9 16 4627
9 11 9822
9 35 5835
9 25 7627
9 52 7885
9 86 6639
9 71 5166
9 57 8864
9 67 5880
9 69 2618
9 40 1599
10 17 8898
10 46 3668
10 30 740
10 28 270
10 2 909
10 18 8314
10 82 2931
10 24 423
10 0 9229
10 59 9269
10 15 7584
10 55 5820
10 23 2784
10 43 5270
10 61 5414
10 48 650
10 27 2865
10 76 624
10 60 3445
10 39 7075
10 8 2315
10 56 3306
10 51 7168
10 16 4892
10 79 3219
10 11 3840
10 25 2468
10 5 1594
10 86 8916
10 71 4467
10 67 1592
10 45 8233
10 69 9080
10 80 3413
10 40 4676
11 52 4635
11 5 6604
11 86 4445
11 71 7460
11 45 1054
11 69 1502
11 72 2376
11 40 9051
12 9 3849
12 53 9330
12 17 4939
12 46 1407
12 34 2584
12 30 260
12 73 8664
12 28 9038
12 18 263
12 82 6584
12 21 68
12 59 6237
12 33 5997
12 23 3420
12 6 1032
12 43 3712
12 61 5450
12 48 8794
12 27 7485
12 76 8016
12 65 9117
12 32 6936
12 60 820
12 50 979
12 8 263
12 13 9391
12 51 6133
12 16 2836
12 11 7338
12 5 7769
12 86 1345
12 71 5014
12 57 285
12 67 5970
12 69 5362
13 16 9829
13 11 9419
13 86 7633
13 57 3846
14 26 6638
14 64 6150
14 47 8659
14 81 1048
14 19 8979
14 53 4288
14 3 8052
14 10 3714
14 34 3612
14 73 1702
14 36 9911
14 28 1762
14 1 3276
14 21 6794
14 59 4663
14 43 6156
14 61 9488
14 48 2636
14 76 567
14 32 6701
14 50 4411
14 39 118
14 68 7708
14 13 8284
14 29 707
14 56 9425
14 38 1808
14 51 1334
14 57 666
14 67 4318
14 45 8881
14 69 5421
14 80 4774
15 33 5023
15 23 2669
15 48 3868
15 76 3751
15 65 8852
15 32 7814
15 13 9141
15 38 6594
15 51 7615
15 52 9536
15 86 7642
15 67 1380
15 69 7973
16 79 96
16 11 9452
16 35 5888
16 25 7584
16 67 6962
16 72 3518
16 80 10
16 40 9723
17 30 9839
17 36 1801
17 24 5626
17 0 3771
17 15 954
17 43 3293
17 48 1377
17 27 3908
17 54 1973
17 65 9515
17 60 9669
17 39 3206
17 8 2746
17 13 5541
17 56 3068
17 51 7829
17 79 1008
17 25 5429
17 5 1487
17 86 347
17 71 5924
17 67 8226
17 45 6189
17 69 4348
17 80 9226
17 40 4960
18 1 3722
18 55 3661
18 33 4068
18 23 3471
18 43 1302
18 61 21
18 27 8690
18 54 7355
18 39 3587
18 29 6331
18 38 4726
18 51 4203
18 79 679
18 35 4560
18 52 90

expected output:

145316

test 4 FAIL

program output:

649 52
8 15
0 2 1163
0 7 7004
0 48 4995
0 11 6080
0 22 8133
0 37 8472
0 40 6092
0 12 6192
0 30 5502
0 26 8734
0 42 6620
0 32 6572
0 50 141
0 16 4776
0 51 6517
0 3 3925
0 21 9059
0 1 4790
0 20 4447
0 38 8125
1 38 7576
2 48 5855
2 45 9794
2 22 1106
2 17 3877
2 28 9319
2 9 6504
2 40 7436
2 12 6698
2 30 7103
2 42 1741
2 6 3182
2 33 4356
2 39 6706
2 16 4889
2 14 4601
2 49 5481
2 21 9483
2 20 2605
3 21 3999
3 1 4914
3 18 6558
3 38 6806
4 2 8073
4 48 6711
4 10 7005
4 37 9245
4 28 9848
4 9 9655
4 12 3794
4 30 7670
4 15 1315
4 26 206
4 36 3245
4 42 8614
4 33 2930
4 14 6990
4 41 1863
4 3 4602
4 21 4323
4 1 3911
4 38 939
5 13 7803
5 23 2819
5 44 8650
5 29 8300
5 47 3627
5 31 7893
5 0 7461
5 2 8387
5 7 8182
5 48 959
5 11 8933
5 10 1720
5 17 6673
5 34 92
5 28 8498
5 9 4533
5 40 9366
5 12 3701
5 30 5895
5 26 9558
5 42 9934
5 50 4476
5 41 5466
5 3 5828
5 20 2772
6 32 8954
6 33 3431
6 39 5617
6 50 6742
6 16 6655
6 14 3693
6 41 4065
6 51 5595
6 49 4427
6 3 5834
6 21 8581
6 1 7148
6 18 2304
7 11 5449
7 22 2189
7 37 7577
7 28 7965
7 9 5975
7 40 9823
7 12 9360
7 30 9564
7 15 1165
7 36 3180
7 42 4734
7 32 6541
7 33 3669
7 39 2200
7 50 7594
7 16 1090
7 41 7681
7 49 7082
7 1 4936
7 18 8890
8 2 5398
8 10 3473
8 37 6121
8 40 2470
8 30 3623
8 15 9999
8 6 2658
8 39 2317
8 16 1342
8 14 8597
8 41 2150
8 51 6811
8 49 1098
8 21 6844
8 1 6003
8 20 9710
8 18 8373
8 38 1752
9 40 733
9 30 2789
9 15 2033
9 26 7365
9 42 201
9 6 509
9 33 774
9 39 183
9 50 570
9 41 9333
9 49 5821
9 3 7907
9 21 4761
9 1 1352
9 20 7712
10 22 3413
10 37 6706
10 34 3542
10 28 6212
10 40 4983
10 12 5241
10 30 6072
10 15 2247
10 36 7910
10 33 1756
10 39 5258
10 24 9641
10 50 4942
10 16 5583
10 14 8076
10 49 7577
10 20 6936
10 38 8497
11 45 2638
11 17 6609
11 28 5828
11 36 3240
11 3 6289
11 21 2821
11 20 251
11 18 4629
11 38 2983
12 36 5626
12 6 469
12 32 8055
12 24 940
12 16 6805
12 51 3162
12 49 1210
12 3 1412
12 20 7964
12 18 7166
13 23 2494
13 27 7377
13 29 7914
13 47 484
13 31 7097
13 35 998
13 0 504
13 4 5615
13 2 9037
13 45 3310
13 37 6172
13 17 2599
13 34 2263
13 40 2918
13 12 3741
13 30 5236
13 36 7046
13 6 4298
13 39 8819
13 24 6675
13 41 8415
13 51 7563
13 49 5101
13 20 5482
13 38 5545
14 41 2459
14 21 1610
14 38 4039
15 26 3902
15 36 4136
15 32 3314
15 16 45
15 14 5397
15 51 3523
15 18 3475
16 41 8074
16 51 4527
16 1 765
16 38 9708
17 34 1272
17 9 3043
17 40 9473
17 42 4489
17 6 9070
17 33 1590
17 39 2021
17 50 6187
17 21 7904
17 1 3728
17 20 1554
17 18 8632
19 8 1582
19 0 9868
19 2 8019
19 7 5780
19 48 9584
19 11 9725
19 37 1588
19 17 2489
19 9 940
19 40 2164
19 15 7918
19 6 3290
19 33 1160
19 50 1271
19 16 9867
19 14 7506
19 41 695
19 51 5068
19 49 9658
19 20 2200
19 38 2138
20 38 2650
21 38 917
22 34 5967
22 28 1549
22 12 3848
22 42 159
22 32 8634
22 50 2545
22 16 3754
22 51 2366
22 3 4437
22 21 9364
22 38 6972
23 44 9201
23 27 5457
23 47 4907
23 4 1498
23 7 1681
23 11 1071
23 22 598
23 37 1914
23 17 898
23 9 2503
23 30 331
23 15 7342
23 42 2131
23 32 4712
23 41 7762
23 51 6833
23 49 4791
23 3 3302
23 20 6639
24 16 1121
24 14 8512
24 51 2197
24 49 104
24 3 3381
24 21 5323
24 38 3803
25 44 9419
25 27 8727
25 47 3112
25 31 3389
25 35 5303
25 19 9738
25 8 5987
25 0 566
25 4 3643
25 2 3205
25 48 3390
25 45 940
25 37 2220
25 34 8660
25 28 267
25 9 760
25 40 9427
25 39 4319
25 50 1680
25 14 1761
25 41 7600
25 49 3413
25 21 7033
25 20 7401
25 18 7317
26 6 8755
26 16 3804
26 41 5607
26 49 1080
26 3 7191
26 21 8529
26 1 4854
26 18 8458
26 38 2341
27 31 3800
27 0 2723
27 4 5418
27 2 8809
27 11 5533
27 10 6953
27 45 3315
27 22 4695
27 37 3112
27 34 9495
27 9 5599
27 30 7411
27 15 5225
27 26 4842
27 32 3620
27 24 1301
27 50 5658
27 16 9375
27 14 6771
27 49 774
27 21 997
28 9 6314
28 15 130
28 36 6592
28 6 8936
28 33 3597
28 16 3217
28 14 5372
28 49 221
28 3 5600
28 1 9344
28 20 2356
29 47 9559
29 31 3230
29 35 7870
29 19 7542
29 8 411
29 7 9198
29 11 9911
29 10 9000
29 45 6547
29 34 1946
29 12 2699
29 30 6528
29 15 7098
29 36 47
29 6 168
29 32 5737
29 39 9331
29 24 2962
29 50 21
29 41 3843
29 51 1718
29 3 5067
29 20 5983
29 18 1279
29 38 6991
30 36 9936
30 42 713
30 32 4741
30 39

expected output:

31088

test 5 FAIL

program output:

755 55
53 8
0 8 3456
0 2 254
0 5 2978
0 31 1282
0 10 7267
0 50 2816
0 43 3175
0 24 1335
0 36 669
0 48 4729
0 26 2887
0 28 9917
0 34 9363
0 17 7627
0 49 6645
0 45 8541
0 9 6248
0 23 5180
0 6 1370
0 1 942
0 16 8883
0 22 6796
0 40 2670
0 52 2256
1 11 7139
1 32 4493
1 47 8064
1 52 2909
2 15 4803
2 13 4405
2 31 6244
2 50 5903
2 35 852
2 37 2385
2 26 6578
2 19 6934
2 49 5985
2 45 4731
2 9 4436
2 23 7809
2 32 7276
2 7 6143
2 52 95
2 38 3288
2 25 6867
3 51 8964
3 18 9651
3 39 1149
3 30 7431
3 29 7220
3 0 829
3 14 7438
3 41 4384
3 54 8264
3 8 4197
3 2 9390
3 5 6033
3 15 1985
3 31 8345
3 50 4742
3 21 9700
3 35 5299
3 43 6328
3 37 543
3 28 6850
3 17 65
3 16 4015
3 22 9475
3 40 2739
3 47 9796
3 52 3467
3 20 7526
4 51 9765
4 39 8848
4 30 4307
4 29 4325
4 0 5108
4 14 4216
4 54 3581
4 8 9428
4 5 122
4 13 3758
4 21 3763
4 24 3093
4 36 9745
4 26 7161
4 28 1134
4 44 8652
4 19 8660
4 49 1294
4 45 7426
4 23 1646
4 6 8633
4 32 2670
4 47 9904
4 52 2036
4 38 7340
4 20 8586
4 25 46
5 31 77
5 35 642
5 43 1809
5 24 3172
5 37 4057
5 26 1214
5 44 6887
5 19 6855
5 45 4322
5 9 6834
5 11 2716
5 32 1702
5 22 5287
5 40 7523
5 47 6871
5 52 8562
5 20 3795
5 25 1172
6 32 4432
6 20 8496
6 25 4093
7 25 7240
8 2 2484
8 5 8114
8 13 2036
8 31 2549
8 10 4038
8 50 5699
8 21 3271
8 35 4466
8 43 5872
8 36 3117
8 48 8638
8 28 912
8 44 8565
8 34 3962
8 19 371
8 49 5523
8 45 2568
8 9 1597
8 23 6256
8 6 7993
8 32 8552
8 47 8757
8 52 689
8 20 3595
8 25 6148
9 6 7462
9 16 2351
9 22 1965
9 40 9718
9 7 5652
9 47 8689
9 25 2714
10 21 953
10 43 4890
10 36 5002
10 48 3344
10 44 9135
10 17 7080
10 49 8422
10 45 967
10 27 46
10 32 9520
10 16 9973
10 22 1438
10 40 7858
10 47 4316
10 52 5455
10 38 7482
10 20 1804
10 25 984
11 16 9355
11 40 2213
11 38 3170
12 19 5844
12 27 8185
12 6 6411
12 1 9877
12 16 8701
12 22 3114
12 40 1592
12 7 6504
12 47 3727
12 52 3709
12 20 216
13 31 6337
13 10 4671
13 35 4477
13 36 7724
13 48 2788
13 26 6860
13 34 9388
13 12 5117
13 17 8732
13 19 4473
13 27 444
13 23 5612
13 6 5776
13 32 8633
13 22 1133
13 47 7367
13 38 8843
14 54 5392
14 15 1894
14 13 6911
14 31 8265
14 21 9269
14 24 4502
14 28 2072
14 12 7596
14 17 3680
14 27 7064
14 11 1190
14 32 5126
14 22 426
14 7 5304
14 47 1640
14 38 5006
14 20 3739
15 31 1643
15 21 5233
15 35 4822
15 43 6989
15 36 3455
15 26 1181
15 44 6605
15 12 3602
15 17 3555
15 19 628
15 23 6833
15 6 7502
15 32 5908
15 40 7955
15 7 9482
15 47 5673
15 52 7607
15 20 5531
15 25 6316
16 22 5674
16 7 6662
16 47 4247
16 20 2598
16 25 1560
17 19 7686
17 49 6726
17 27 1722
17 9 2998
17 1 1552
17 11 7411
17 32 4866
17 22 5610
17 7 1651
17 47 3561
17 52 1607
17 38 3955
18 30 8034
18 33 209
18 29 3507
18 14 9192
18 41 3007
18 54 7100
18 2 831
18 15 5888
18 13 5186
18 31 6155
18 50 3333
18 21 4813
18 43 7624
18 24 643
18 36 4877
18 44 3552
18 34 8487
18 17 441
18 49 5761
18 45 3809
18 27 9903
18 9 4833
18 23 8134
18 6 3354
18 1 7480
18 11 7326
18 22 6519
18 52 9659
18 38 6067
18 25 3253
19 27 7342
19 23 6086
19 6 4234
19 1 6106
19 11 1759
19 32 4005
19 7 8753
19 47 8576
21 35 8909
21 36 2076
21 26 1549
21 44 4865
21 34 9492
21 19 8197
21 27 8645
21 9 4463
21 6 478
21 32 9297
21 16 3361
21 7 5619
21 38 1476
22 7 1111
22 52 4804
22 38 2437
22 25 3592
23 16 1438
23 40 6364
23 7 7630
23 47 3444
23 52 8134
23 38 351
24 48 4240
24 26 7466
24 28 1704
24 44 1497
24 49 429
24 45 8854
24 6 4602
24 1 5416
24 11 5403
24 7 722
24 47 4174
24 52 1561
24 38 6251
24 25 7045
26 44 2609
26 34 4863
26 12 3463
26 17 1184
26 49 5009
26 45 6047
26 27 6192
26 16 1423
26 40 9745
26 7 6113
26 52 5056
27 1 6854
27 11 9138
27 22 4050
27 7 478
27 47 8893
27 38 2292
27 20 5331
28 44 3704
28 12 9696
28 19 246
28 9 4324
28 32 6474
28 7 5433
28 47 8993
28 25 486
29 14 1469
29 41 8463
29 54 3456
29 8 919
29 5 6725
29 15 6372
29 13 8359
29 50 6851
29 21 5046
29 24 1488
29 44 9108
29 34 9024
29 49 1956
29 9 296
29 6 7980
29 1 3977
29 32 1142
29 16 3901
29 52 8333
29 38 133
29 25 9245
30 33 5760
30 41 4339
30 2 6862
30 5 9326
30 31 9534
30 35 1176
30 43 6659
30 24 617
30 48 1589
30 26 8046
30 44 6967
30 34 6359
30 17 1388
30 49 5548
30 45 6526
30 27 229
30 9 2935
30 23 379

expected output:

38940

test 6 FAIL

program output:

15059 246
2 59
0 98 4489
0 227 8845
0 146 1941
0 161 3623
0 187 3591
0 240 7386
0 151 7517
0 218 5718
0 179 8966
0 136 5057
0 59 3371
0 162 5215
0 133 6052
0 215 1153
0 18 5445
0 238 7203
0 235 8182
0 123 1645
0 24 1969
0 143 5902
0 84 9699
0 165 295
0 64 4501
0 208 4824
0 15 613
0 83 2509
0 200 9615
0 148 9921
0 76 2977
0 169 4307
0 244 6941
0 206 8653
0 67 2400
0 37 3406
1 132 5149
1 164 7592
1 10 2955
1 5 692
1 14 8539
1 26 1659
1 194 602
1 129 2709
1 99 4809
1 183 8083
1 155 2758
1 47 741
1 205 4481
1 98 1009
1 73 1544
1 65 6972
1 187 8
1 12 5820
1 240 596
1 151 8462
1 218 464
1 118 1510
